data
"[830.0366300366301, 849.7802197802198, 822.7838827838829, 827.6190476190476]"
"[719.6336996336996, 840.9157509157509, 763.1501831501831, 631.7948717948718]"
"[846.5567765567765, 846.5567765567765, 851.7948717948718, 830.4395604395604]"
"[987.985347985348, 853.4065934065934, 923.5164835164835, 1067.7655677655678]"
"[879.5970695970697, 848.1684981684982, 852.1978021978023, 912.2344322344322]"
"[710.3663003663004, 841.3186813186813, 756.3003663003664, 639.4505494505495]"
"[787.3260073260074, 845.7509157509157, 811.9047619047619, 734.5421245421246]"
"[962.6007326007326, 853.8095238095239, 922.3076923076924, 1017.3992673992674]"
"[923.919413919414, 846.959706959707, 882.8205128205128, 971.8681318681319]"
"[746.6300366300367, 838.901098901099, 778.0586080586081, 685.3846153846154]"
"[749.8534798534798, 840.9157509157509, 796.5934065934066, 676.1172161172161]"
"[928.3516483516484, 845.3479853479854, 899.7435897435897, 957.3626373626374]"
"[961.7948717948718, 850.989010989011, 900.1465201465202, 1024.6520146520147]"
"[786.5201465201466, 846.5567765567765, 802.6373626373627, 757.5091575091575]"
"[718.021978021978, 845.7509157509157, 782.893772893773, 635.8241758241759]"
"[877.985347985348, 855.4212454212454, 881.6117216117217, 878.7912087912089]"
"[976.3003663003664, 856.2271062271062, 924.3223443223443, 1050.8424908424909]"
"[836.886446886447, 846.959706959707, 824.7985347985348, 844.5421245421246]"
"[705.934065934066, 838.901098901099, 766.3736263736264, 630.1831501831502]"
"[821.1721611721612, 841.3186813186813, 859.047619047619, 801.025641025641]"
"[981.5384615384615, 848.974358974359, 931.1721611721612, 1057.2893772893774]"
"[894.5054945054945, 844.5421245421246, 862.2710622710623, 935.2014652014652]"
"[718.8278388278388, 836.0805860805862, 784.5054945054945, 658.7912087912088]"
"[770.4029304029305, 838.901098901099, 826.007326007326, 724.8717948717949]"
"[954.5421245421246, 848.5714285714286, 918.6813186813187, 1008.5347985347986]"
"[942.0512820512821, 848.5714285714286, 901.3553113553114, 995.6410256410256]"
"[756.7032967032967, 839.7069597069598, 798.2051282051282, 709.5604395604396]"
"[738.5714285714286, 835.6776556776557, 794.1758241758242, 668.4615384615385]"
"[921.5018315018315, 843.7362637362637, 894.908424908425, 946.886446886447]"
"[975.4945054945056, 851.7948717948718, 907.3992673992674, 1048.4249084249084]"
"[807.4725274725275, 845.7509157509157, 807.4725274725275, 794.1758241758242]"
"[719.6336996336996, 837.6923076923077, 772.8205128205128, 639.4505494505495]"
"[871.941391941392, 843.7362637362637, 855.0183150183151, 862.6739926739926]"
"[988.3882783882784, 852.1978021978023, 917.8754578754579, 1056.886446886447]"
"[855.4212454212454, 846.959706959707, 856.2271062271062, 869.5238095238095]"
"[708.7545787545788, 838.0952380952381, 774.8351648351648, 633.0036630036631]"
"[807.8754578754579, 841.7216117216118, 836.4835164835165, 774.0293040293041]"
"[974.2857142857143, 850.1831501831502, 932.7838827838829, 1040.7692307692307]"
"[910.6227106227107, 848.1684981684982, 885.6410256410256, 949.3040293040293]"
"[734.1391941391942, 838.901098901099, 784.1025641025641, 670.4761904761905]"
"[760.7326007326008, 841.7216117216118, 811.0989010989011, 707.5457875457876]"
"[941.6483516483516, 848.974358974359, 908.6080586080586, 997.6556776556777]"
"[941.6483516483516, 845.7509157509157, 903.7728937728938, 1025.0549450549452]"
"[759.1208791208792, 837.2893772893773, 798.6080586080586, 742.6007326007326]"
"[722.0512820512821, 840.5128205128206, 787.7289377289378, 662.8205128205128]"
"[896.1172161172161, 851.3919413919414, 898.9377289377289, 927.948717948718]"
"[974.2857142857143, 851.7948717948718, 924.3223443223443, 1062.5274725274726]"
"[821.5750915750916, 837.6923076923077, 824.3956043956044, 828.021978021978]"
"[716.007326007326, 829.2307692307693, 779.2673992673992, 647.5091575091575]"
"[851.3919413919414, 838.901098901099, 867.5091575091575, 850.1831501831502]"
"[990.8058608058608, 848.1684981684982, 923.919413919414, 1069.3772893772893]"
"[880.0, 844.5421245421246, 847.3626373626374, 904.5787545787546]"
"[718.8278388278388, 839.7069597069598, 772.4175824175825, 651.941391941392]"
"[806.2637362637363, 840.9157509157509, 828.021978021978, 766.7765567765568]"
